Q179631,"Edward Elgar",1857-06-02,1934-02-23,"Romantic",2022-06-10T18:46:58+00:00
Q4727244,"Alissa Firsova",1986-07-24,None,"Contemporary",2022-06-10T18:33:45+00:00
Q151953,"Johann Nepomuk Hummel",1778-09-14,1837-10-17,"Classical",2022-06-10T18:21:37+00:00
Q123829,"George Gershwin",1898-09-26,1937-07-11,"Modernism",2022-06-10T18:18:46+00:00
Q1339,"Johann Sebastian Bach",1685-03-31,1750-07-28,"Baroque",2022-06-10T18:13:51+00:00
Q1852325,"Ney Rosauro",1952-10-24T00:00:00Z,None,"Contemporary",2022-06-10T18:10:17+00:00
Q81752,"Anton Bruckner",1824-09-04,1896-10-11,"Romantic",2022-06-10T18:05:44+00:00
Q7312,"Franz Schubert",1797-01-31,1828-11-19,"Romantic",2022-06-10T18:00:46+00:00
Q84114,"John Adams",1947-02-15,None,"Modernism",2022-06-10T17:55:12+00:00
Q104919,"Gabriel Fauré",1845-05-12,1924-11-04,"Romantic",2022-06-10T17:49:20+00:00
Q179277,"Giovanni da Palestrina",1520-01-01T00:00:00Z,1594-02-02T00:00:00Z,"Renaissance",2022-06-10T17:43:41+00:00
None,"Ulger",None,None,"None",2022-06-10T17:38:47+00:00
Q3395608,"Joseph Parry",1841-05-21T00:00:00Z,1903-02-17T00:00:00Z,"Romantic",2022-06-10T17:34:12+00:00
Q191499,"Scott Joplin",1868-11-24,1917-04-01,"Romantic",2022-06-10T17:28:42+00:00
Q191499,"Scott Joplin",1868-11-24,1917-04-01,"Romantic",2022-06-10T17:19:38+00:00
Q1340,"Antonio Vivaldi",1678-03-04,1741-07-28,"Baroque",2022-06-10T17:13:22+00:00
Q45682,"Jean Sibelius",1865-12-08,1957-09-20,"Modernism",2022-06-10T17:08:47+00:00
Q191499,"Scott Joplin",1868-11-24,1917-04-01,"Romantic",2022-06-10T17:03:50+00:00
Q504426,"Borys Liatoshynsky",1895-01-03T00:00:00Z,1968-04-15T00:00:00Z,"Modernism",2022-06-10T16:47:59+00:00
Q5859820,"Trad Montana",1977-01-01T00:00:00Z,None,"Contemporary",2022-06-10T16:42:38+00:00
Q7312,"Franz Schubert",1797-01-31T00:00:00Z,1828-11-19T00:00:00Z,"Romantic",2022-06-10T16:27:46+00:00
Q5859820,"Trad Montana",1977-01-01T00:00:00Z,None,"Contemporary",2022-06-10T16:19:57+00:00
Q254,"Wolfgang Amadeus Mozart",1756-01-27,1791-12-05,"Classical",2022-06-10T16:15:46+00:00
Q191499,"Scott Joplin",1868-11-24,1917-04-01,"Romantic",2022-06-10T16:10:39+00:00
Q5859820,"Trad Montana",1977-01-01T00:00:00Z,None,"Contemporary",2022-06-10T16:07:12+00:00
Q1339,"Johann Sebastian Bach",1685-03-31,1750-07-28,"Baroque",2022-06-10T16:01:20+00:00
Q255,"Ludwig van Beethoven",1770-12-16,1827-03-26,"Classical",2022-06-10T15:22:25+00:00
Q59755918,"Anonymous",None,None,"None",2022-06-10T15:02:44+00:00
Q1178,"Maurice Ravel",1875-03-07,1937-12-28,"Modernism",2022-06-10T14:44:25+00:00
Q254,"Wolfgang Amadeus Mozart",1756-01-27,1791-12-05,"Classical",2022-06-10T14:39:20+00:00
Q45682,"Jean Sibelius",1865-12-08,1957-09-20,"Modernism",2022-06-10T14:02:01+00:00
None,"Emil Cossetto",None,None,"None",2022-06-10T13:47:47+00:00
Q254,"Wolfgang Amadeus Mozart",1756-01-27,1791-12-05,"Classical",2022-06-10T13:42:27+00:00
Q75135528,"Albin Paulus",1972-01-01T00:00:00Z,None,"Contemporary",2022-06-10T13:22:25+00:00
Q2261216,"Howard Skempton",1947-10-31,None,"Modernism",2022-06-10T13:07:40+00:00
Q254,"Wolfgang Amadeus Mozart",1756-01-27,1791-12-05,"Classical",2022-06-10T13:01:25+00:00
