Helena Munktell,1852-11-24T00:00:00Z,1919-09-10T00:00:00Z,None,Suite for large orche... ,Mon Mar 28 17:09:39 +0000 2022
Hans Zimmer,1957-09-12T00:00:00Z,None,None,Dune,Mon Mar 28 17:06:30 +0000 2022
Edward Elgar,1857-06-02T00:00:00Z,1934-02-23T00:00:00Z,None,The Wild Bears (The W... ,Mon Mar 28 17:03:17 +0000 2022
Edvard Grieg,1843-06-15T00:00:00Z,1907-09-04T00:00:00Z,None,Homeward,Mon Mar 28 16:56:31 +0000 2022
Felix Mendelssohn,1809-02-03T00:00:00Z,1847-11-04T00:00:00Z,Romantic music,Symphony No 5 \'Reform... ,Mon Mar 28 16:47:00 +0000 2022
Johannes Brahms,1833-05-07T00:00:00Z,1897-04-03T00:00:00Z,Romantic music,Sonata in F minor Op.120 No. 1 - V... ,Mon Mar 28 16:43:18 +0000 2022
Egon Wellesz,1885-10-21T00:00:00Z,1974-11-09T00:00:00Z,None,Zwei Stuke,Mon Mar 28 16:35:43 +0000 2022
Otto Nicolai,1810-06-09T00:00:00Z,1849-05-11T00:00:00Z,None,Overture to The Merry... ,Mon Mar 28 16:23:01 +0000 2022
Étienne Moulinié,1599-10-10T00:00:00Z,1676-01-01T00:00:00Z,Baroque music,Ne reminiscaris Domine ,Mon Mar 28 16:18:16 +0000 2022
Johann Sebastian Bach,1685-03-31T00:00:00Z,1750-07-28T00:00:00Z,Baroque music,Concerto in D major f... ,Mon Mar 28 16:10:57 +0000 2022
Ernst Krenek,1900-08-23T00:00:00Z,1991-12-22T00:00:00Z,20th-century classical music,Kleine Suite,Mon Mar 28 16:05:52 +0000 2022
César Franck,1822-12-10T00:00:00Z,1890-11-08T00:00:00Z,None,Violin Sonata in A major M.8 ,Mon Mar 28 15:32:09 +0000 2022
Joseph Haydn,1732-03-31T00:00:00Z,1809-05-31T00:00:00Z,classicism,Cello Concerto No. 1 ... ,Mon Mar 28 15:06:07 +0000 2022
Astor Piazzolla,1921-03-11T00:00:00Z,1992-07-04T00:00:00Z,None,Thriller ,Mon Mar 28 14:59:14 +0000 2022
John Ravenscroft,1665-01-01T00:00:00Z,1697-10-12T00:00:00Z,Baroque music,Trio Sonata in A,Mon Mar 28 14:54:45 +0000 2022
Antonio Cifra,1584-01-01T00:00:00Z,1629-10-02T00:00:00Z,Baroque music,Canon terza ,Mon Mar 28 14:52:45 +0000 2022
Antonín Dvořák,1841-09-08T00:00:00Z,1904-05-01T00:00:00Z,Romantic music,Symphony No. 6 in D,Mon Mar 28 14:07:18 +0000 2022
Frédéric Chopin,1810-02-22T00:00:00Z,1849-10-17T00:00:00Z,western classical music,Piano Sonata No. 2 in B flat minor,Mon Mar 28 13:42:03 +0000 2022
Eric Whitacre,1970-01-02T00:00:00Z,None,None,Water Night EricWhitacre,Mon Mar 28 13:35:19 +0000 2022
Nicola Fiorenza,1700-01-01T00:00:00Z,1764-04-13T00:00:00Z,Baroque music,Recorder Concerto in ... ,Mon Mar 28 13:26:39 +0000 2022
Ottorino Respighi,1879-06-09T00:00:00Z,1936-04-18T00:00:00Z,None,Il Tramonto ,Mon Mar 28 13:11:28 +0000 2022
Heinrich Biber,1644-08-12T00:00:00Z,1704-05-03T00:00:00Z,Baroque music,Partita VI in D (Harmo... ,Mon Mar 28 11:41:02 +0000 2022
Heinrich Biber,1644-08-12T00:00:00Z,1704-05-03T00:00:00Z,Baroque music,Sonata in A major for... ,Mon Mar 28 11:28:24 +0000 2022
Heinrich Biber,1644-08-12T00:00:00Z,1704-05-03T00:00:00Z,Baroque music,Battalia a 10 (Sonata... ,Mon Mar 28 11:13:43 +0000 2022
Heinrich Biber,1644-08-12T00:00:00Z,1704-05-03T00:00:00Z,Baroque music,Sonata in A major (La... ,Mon Mar 28 11:06:10 +0000 2022
Heinrich Biber,1644-08-12T00:00:00Z,1704-05-03T00:00:00Z,Baroque music,Missa Alleluia (Kyrie) ,Mon Mar 28 11:00:23 +0000 2022
Marcel Dupré,1886-05-03T00:00:00Z,1971-05-30T00:00:00Z,western classical music,Organ Symphony in G m... ,Mon Mar 28 10:52:33 +0000 2022
Francisco Guerrero,1528-10-04T00:00:00Z,1599-11-08T00:00:00Z,None,Surge propera amica mea ,Mon Mar 28 10:45:52 +0000 2022
George Frideric Handel,1685-03-05T00:00:00Z,1759-04-14T00:00:00Z,Baroque music,Da tempeste il legno ... ,Mon Mar 28 10:39:13 +0000 2022
Giuseppe Martucci,1856-01-06T00:00:00Z,1909-06-01T00:00:00Z,None,Romance in A major,Mon Mar 28 10:34:03 +0000 2022
Ólafur Arnalds,1986-11-03T00:00:00Z,None,None,Tomorrow\'s Song OlafurArnalds,Mon Mar 28 10:31:06 +0000 2022
Antonín Dvořák,1841-09-08T00:00:00Z,1904-05-01T00:00:00Z,Romantic music,Slavonic Rhapsody in ... ,Mon Mar 28 10:17:51 +0000 2022
Ruth Gipps,1921-02-20T00:00:00Z,1999-02-23T00:00:00Z,None,Sinfonietta,Mon Mar 28 10:11:46 +0000 2022
Franz Schubert,1797-01-31T00:00:00Z,1828-11-19T00:00:00Z,None,Standchen (Schwanenges... ,Mon Mar 28 10:07:07 +0000 2022
Adolphus Hailstork,1941-04-17T00:00:00Z,None,None,Hora ,Mon Mar 28 09:59:21 +0000 2022
Gabriel Fauré,1845-05-12T00:00:00Z,1924-11-04T00:00:00Z,Romantic music,Sicilienne,Mon Mar 28 09:53:35 +0000 2022
